21,87,238,0.68,16,7,1.96
21,90,238,1.467,25,14,2.56
21,91,238,1.41,38,16,2.36
22,83,258,0.578,30,5,2.76
22,84,258,0.59,49,11,2.76
22,85,258,0.565,46,15,2.16
22,86,258,0.72,38,10,2.36
22,87,258,0.68,39,9,2.36
22,90,258,1.467,33,18,2.76
22,91,258,1.41,54,19,2.76
23,83,221,0.654,0,11,1.7
23,84,221,0.667,0,15,1.75
23,85,221,0.634,1,15,1.75
23,86,221,0.79,0,14,1.33
23,87,221,0.75,0,15,1.33
23,90,221,1.36,18,17,1.96
23,91,221,1.46,16,18,1.75
23,92,221,1.179,21,17,1.96
24,83,252,0.654,2,12,1.9
24,84,252,0.667,8,16,1.96
24,85,252,0.634,23,17,1.96
24,86,252,0.79,16,15,1.54
24,87,252,0.75,16,16,1.54
24,90,252,1.36,19,18,2.16
24,91,252,1.46,31,20,1.96
24,92,252,1.179,32,19,1.96
25,84,232,0.217,0,0,1.3
25,85,232,0.222,0,0,1.4
25,87,232,0.221,1,7,1.54
25,90,232,0.257,0,8,1.96
25,91,232,0.29,0,9,1.96
25,92,232,0.231,0,9,1.4
26,84,315,0.217,0,0,1.5
26,85,315,0.222,0,0,1.6
26,87,315,0.221,2,8,1.7
26,90,315,0.257,4,11,2.16
26,91,315,0.29,16,12,2.16
26,92,315,0.231,17,12,2.16
27,84,245,0.217,0,0,1.6
27,85,245,0.222,0,0,1.75
27,87,245,0.221,2,6,1.75
27,90,245,0.257,1,7,1.75
27,91,245,0.29,3,7,2.16
27,92,245,0.231,9,7,2.36
27,93,245,0.361,16,7,1.96
28,84,296,0.217,0,0,1.8
28,85,296,0.222,0,0,1.96
28,87,296,0.221,8,8,2
28,90,296,0.257,15,9,2.16
28,91,296,0.29,23,9,2.16
28,92,296,0.231,31,10,2.36
28,93,296,0.361,24,10,2.16
29,84,409,0.236,17,5,2
29,85,409,0.24,29,7,2.16
29,87,409,0.249,32,10,2.2
30,84,498,0.236,24,8,2.1
30,85,498,0.24,35,10,2.16
30,87,498,0.249,37,13,2.36
31,84,228,0.236,7,3,1.6
31,85,228,0.24,9,4,1.6
31,87,228,0.249,8,5,1.7
31,90,228,0.257,18,6,1.96
31,91,228,0.251,16,6,2.16
31,92,228,0.172,16,7,2.36
32,84,279,0.236,12,4,1.8
32,85,279,0.24,20,5,1.96
32,87,279,0.249,19,7,1.96
32,90,279,0.257,21,8,2.36
32,91,279,0.251,23,8,2.36
32,92,279,0.172,23,8,2.36
33,84,389,0.236,25,3,2.3
33,85,389,0.24,30,5,2.36
33,87,389,0.249,45,7,2.56
34,84,519,0.236,57,4,3.99
34,85,519,0.24,59,10,3.99
34,87,519,0.249,62,10,4.2
35,84,386,0.308,1,11,1.4
35,85,386,0.314,8,17,1.54
35,87,386,0.323,22,17,1.6
35,90,386,0.401,18,18,1.96
35,91,386,0.339,16,21,2.16
35,92,386,0.231,16,21,2.2
36,84,466,0.308,1,14,1.7
36,85,466,0.314,17,18,1.75
36,87,466,0.323,26,19,1.9
36,90,466,0.401,31,23,2.36
36,91,466,0.339,31,23,2.36
36,92,466,0.231,31,24,2.4
37,84,431,0.136,8,12,1.3
37,85,431,0.139,17,12,1.33
37,87,431,0.417,31,17,1.6
38,84,496,0.136,16,16,1.5
38,85,496,0.139,28,16,1.54
38,87,496,0.417,33,18,1.75
39,84,301,0.333,24,7,2.2
39,85,301,0.34,29,8,2.2
39,87,301,0.337,32,11,2.56
40,84,373,0.333,32,9,2.56
40,85,373,0.34,37,10,2.56
40,87,373,0.337,53,13,3.99
41,84,556,0,0,0,1.54
41,85,556,0.28,0,0,1.54
41,86,556,0.286,0,0,1.54
41,87,556,0.295,0,0,1.5
41,89,556,0.339,0,7.8,1.75
41,90,556,0.35,0,9,1.75
42,84,610,0,0,0,1.75
42,85,610,0.28,0,0,1.75
42,86,610,0.286,0,0,1.75
42,87,610,0.295,0,2,1.8
42,89,610,0.339,0,11,2
42,90,610,0.35,0,11,2
43,84,553,0.275,0,0,1.33
43,85,553,0.28,0,0,1.33
43,86,553,0.028,0,0,1.3
43,87,553,0.295,0,0,1.33
43,89,553,0.339,0,4.8,1.75
43,90,553,0.326,0,7,1.75
